repetition,F1_drop_redundancy,F1_drop_control,DRE
1,0.0,0.0,0.0
5,0.15577521008403367,-0.030602941176470666,0.18637815126050433
10,0.16987535014005606,-0.0038788515406162904,0.17375420168067235
16,0.18987535014005608,0.016297385620915095,0.17357796451914098
