run_id,patient_id,repetition,run,model,timestamp,raw_valid_json,repair_needed,structural_drift_score,schema_match,drift_score
20260522_154800,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:00,1,0,0.0,1,0.43333333333333335
20260522_154800,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:05,1,0,0.0,1,0.4666666666666667
20260522_154800,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:10,1,0,0.0,1,0.43333333333333335
20260522_154800,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:14,1,0,0.0,1,0.2222222222222222
20260522_154800,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:17,1,0,0.0,1,0.2222222222222222
20260522_154800,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:20,1,0,0.0,1,0.46153846153846156
20260522_154800,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:24,1,0,0.0,1,0.35714285714285715
20260522_154800,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:28,1,0,0.0,1,0.35714285714285715
20260522_154800,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:31,1,0,0.0,1,0.35714285714285715
20260522_154800,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:35,1,0,0.0,1,0.25
20260522_154800,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:38,1,0,0.0,1,0.4
20260522_154800,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:41,1,0,0.0,1,0.4
20260522_154800,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:44,1,0,0.0,1,0.39285714285714285
20260522_154800,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:47,1,0,0.0,1,0.39285714285714285
20260522_154800,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:50,1,0,0.0,1,0.39285714285714285
20260522_154800,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:53,1,0,0.0,1,0.4444444444444444
20260522_154800,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:48:57,1,0,0.0,1,0.4444444444444444
20260522_154800,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:01,1,0,0.0,1,0.2857142857142857
20260522_154800,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:03,1,0,0.0,1,0.3
20260522_154800,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:07,1,0,0.0,1,0.36363636363636365
20260522_154800,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:09,1,0,0.0,1,0.4166666666666667
20260522_154800,patient_08,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:14,1,0,0.0,1,0.34615384615384615
20260522_154800,patient_08,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:16,1,0,0.0,1,0.34615384615384615
20260522_154800,patient_08,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:19,1,0,0.0,1,0.34615384615384615
20260522_154800,patient_09,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:22,1,0,0.0,1,0.4444444444444444
20260522_154800,patient_09,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:25,1,0,0.0,1,0.4444444444444444
20260522_154800,patient_09,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:28,1,0,0.0,1,0.4444444444444444
20260522_154800,patient_10,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:31,1,0,0.0,1,0.36363636363636365
20260522_154800,patient_10,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:34,1,0,0.0,1,0.36363636363636365
20260522_154800,patient_10,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:49:37,1,0,0.0,1,0.4230769230769231
