condition,repetition,mean_f1_drop,ci_low,ci_high
DRE_section_vs_filler,5,0.013483193277310925,-0.013729411764705875,0.03829858193277311
DRE_section_vs_filler,10,0.073296918767507,0.03913583099906629,0.10790025676937438
DRE_section_vs_filler,16,0.07752521008403361,0.047474404761904766,0.108709856442577
filler_control,5,-0.03358823529411765,-0.05736764705882352,-0.01196985294117648
filler_control,10,-0.029088235294117647,-0.05394117647058823,-0.007291911764705916
filler_control,16,-0.029675070028011202,-0.05485260854341737,-0.00780765056022411
section_redundancy,5,-0.020105042016806723,-0.05146890756302521,0.010100840336134453
section_redundancy,10,0.04420868347338935,0.0013787931839402444,0.08669207516339861
section_redundancy,16,0.04785014005602241,0.007451750700280115,0.08700399159663863
