run_id,patient_id,condition,repetition,run,raw_valid_json,repair_needed,structural_drift_score
20260522_224913,patient_28,filler_control,1,1,1,0,0.0
20260522_224913,patient_28,filler_control,5,1,1,0,0.0
20260522_224913,patient_28,filler_control,10,1,1,0,0.0
20260522_224913,patient_28,filler_control,16,1,1,0,0.0
20260522_224913,patient_29,filler_control,1,1,1,0,0.0
20260522_224913,patient_29,filler_control,5,1,1,0,0.0
20260522_224913,patient_29,filler_control,10,1,1,0,0.0
20260522_224913,patient_29,filler_control,16,1,1,0,0.0
20260522_224913,patient_30,filler_control,1,1,1,0,0.0
20260522_224913,patient_30,filler_control,5,1,1,0,0.0
20260522_224913,patient_30,filler_control,10,1,1,0,0.0
20260522_224913,patient_30,filler_control,16,1,1,0,0.0
20260522_224913,patient_31,filler_control,1,1,1,0,0.0
20260522_224913,patient_31,filler_control,5,1,1,0,0.0
20260522_224913,patient_31,filler_control,10,1,1,0,0.0
20260522_224913,patient_31,filler_control,16,1,1,0,0.0
20260522_224913,patient_32,filler_control,1,1,1,0,0.0
20260522_224913,patient_32,filler_control,5,1,1,0,0.0
20260522_224913,patient_32,filler_control,10,1,1,0,0.0
20260522_224913,patient_32,filler_control,16,1,1,0,0.0
20260522_224913,patient_33,filler_control,1,1,1,0,0.0
20260522_224913,patient_33,filler_control,5,1,1,0,0.0
20260522_224913,patient_33,filler_control,10,1,1,0,0.0
20260522_224913,patient_33,filler_control,16,1,1,0,0.0
20260522_224913,patient_34,filler_control,1,1,1,0,0.0
20260522_224913,patient_34,filler_control,5,1,1,0,0.0
20260522_224913,patient_34,filler_control,10,1,1,0,0.0
20260522_224913,patient_34,filler_control,16,1,1,0,0.0
20260522_224913,patient_35,filler_control,1,1,1,0,0.0
20260522_224913,patient_35,filler_control,5,1,1,0,0.0
20260522_224913,patient_35,filler_control,10,1,1,0,0.0
20260522_224913,patient_35,filler_control,16,1,1,0,0.0
20260522_224913,patient_36,filler_control,1,1,1,0,0.0
20260522_224913,patient_36,filler_control,5,1,1,0,0.0
20260522_224913,patient_36,filler_control,10,1,1,0,0.0
