patient_id,repetition,target_est_tokens,section_doc_chars,filler_doc_chars
patient_49,5,230,917,967
patient_49,10,400,1597,1636
patient_49,16,604,2413,2430
patient_50,1,127,508,508
patient_50,5,277,1108,1105
patient_50,10,465,1858,1869
patient_50,16,690,2758,2853
patient_51,1,184,735,735
patient_51,5,336,1343,1422
patient_51,10,526,2103,2124
patient_51,16,754,3015,3062
patient_52,1,139,553,553
patient_52,5,252,1005,1044
patient_52,10,393,1570,1639
patient_52,16,562,2248,2314
patient_53,1,147,588,588
patient_53,5,361,1444,1468
patient_53,10,629,2514,2548
patient_53,16,950,3798,3805
patient_54,1,100,399,399
patient_54,5,183,731,795
patient_54,10,287,1146,1181
patient_54,16,411,1644,1673
patient_55,1,128,510,510
patient_55,5,331,1322,1384
patient_55,10,585,2337,2365
patient_55,16,889,3555,3620
patient_56,1,99,395,395
patient_56,5,191,763,789
patient_56,10,306,1223,1272
patient_56,16,444,1775,1850
patient_57,1,111,442,442
patient_57,5,221,882,928
patient_57,10,358,1432,1515
patient_57,16,523,2092,2181
patient_58,1,139,554,554
patient_58,5,380,1518,1534
patient_58,10,681,2723,2789
patient_58,16,1043,4169,4256
patient_59,1,94,373,373
patient_59,5,230,917,954
patient_59,10,400,1597,1639
patient_59,16,604,2413,2495
patient_60,1,127,508,508
patient_60,5,277,1108,1176
patient_60,10,465,1858,1882
patient_60,16,690,2758,2849
patient_61,1,184,735,735
patient_61,5,336,1343,1427
patient_61,10,526,2103,2194
patient_61,16,754,3015,3092
patient_62,1,139,553,553
patient_62,5,252,1005,1042
patient_62,10,393,1570,1636
patient_62,16,562,2248,2294
patient_63,1,147,588,588
patient_63,5,361,1444,1465
patient_63,10,629,2514,2562
patient_63,16,950,3798,3818
patient_64,1,100,399,399
patient_64,5,183,731,793
patient_64,10,287,1146,1170
patient_64,16,411,1644,1678
patient_65,1,128,510,510
patient_65,5,331,1322,1401
patient_65,10,585,2337,2357
patient_65,16,889,3555,3571
patient_66,1,99,395,395
patient_66,5,191,763,797
patient_66,10,306,1223,1265
patient_66,16,444,1775,1864
patient_67,1,111,442,442
patient_67,5,221,882,925
patient_67,10,358,1432,1513
patient_67,16,523,2092,2093
patient_68,1,139,554,554
patient_68,5,380,1518,1539
patient_68,10,681,2723,2780
patient_68,16,1043,4169,4244
patient_69,1,94,373,373
patient_69,5,230,917,970
patient_69,10,400,1597,1644
patient_69,16,604,2413,2513
patient_70,1,127,508,508
patient_70,5,277,1108,1184
patient_70,10,465,1858,1879
patient_70,16,690,2758,2841
patient_71,1,184,735,735
patient_71,5,336,1343,1422
patient_71,10,526,2103,2182
patient_71,16,754,3015,3061
patient_72,1,139,553,553
patient_72,5,252,1005,1042
patient_72,10,393,1570,1652
patient_72,16,562,2248,2328
patient_73,1,147,588,588
patient_73,5,361,1444,1468
patient_73,10,629,2514,2527
patient_73,16,950,3798,3885
patient_74,1,100,399,399
patient_74,5,183,731,782
patient_74,10,287,1146,1168
patient_74,16,411,1644,1656
patient_75,1,128,510,510
patient_75,5,331,1322,1403
patient_75,10,585,2337,2362
patient_75,16,889,3555,3623
patient_76,1,99,395,395
patient_76,5,191,763,794
patient_76,10,306,1223,1277
patient_76,16,444,1775,1774
patient_77,1,111,442,442
patient_77,5,221,882,933
patient_77,10,358,1432,1520
patient_77,16,523,2092,2109
patient_78,1,139,554,554
patient_78,5,380,1518,1532
patient_78,10,681,2723,2775
patient_78,16,1043,4169,4240
patient_79,1,94,373,373
patient_79,5,230,917,968
patient_79,10,400,1597,1637
patient_79,16,604,2413,2508
patient_80,1,127,508,508
patient_80,5,277,1108,1189
patient_80,10,465,1858,1878
patient_80,16,690,2758,2761
patient_81,1,184,735,735
patient_81,5,336,1343,1414
patient_81,10,526,2103,2106
patient_81,16,754,3015,3103
patient_82,1,139,553,553
patient_82,5,252,1005,1042
patient_82,10,393,1570,1639
patient_82,16,562,2248,2338
patient_83,1,147,588,588
patient_83,5,361,1444,1468
patient_83,10,629,2514,2519
patient_83,16,950,3798,3814
patient_84,1,100,399,399
patient_84,5,183,731,795
patient_84,10,287,1146,1181
patient_84,16,411,1644,1657
patient_85,1,128,510,510
patient_85,5,331,1322,1387
patient_85,10,585,2337,2354
patient_85,16,889,3555,3560
patient_86,1,99,395,395
patient_86,5,191,763,789
patient_86,10,306,1223,1264
patient_86,16,444,1775,1782
patient_87,1,111,442,442
patient_87,5,221,882,928
patient_87,10,358,1432,1504
patient_87,16,523,2092,2125
patient_88,1,139,554,554
patient_88,5,380,1518,1542
patient_88,10,681,2723,2817
patient_88,16,1043,4169,4181
patient_89,1,94,373,373
patient_89,5,230,917,975
patient_89,10,400,1597,1635
patient_89,16,604,2413,2415
patient_90,1,127,508,508
patient_90,5,277,1108,1198
patient_90,10,465,1858,1879
patient_90,16,690,2758,2780
patient_91,1,184,735,735
patient_91,5,336,1343,1419
patient_91,10,526,2103,2117
patient_91,16,754,3015,3068
patient_92,1,139,553,553
patient_92,5,252,1005,1039
patient_92,10,393,1570,1620
patient_92,16,562,2248,2323
patient_93,1,147,588,588
patient_93,5,361,1444,1462
patient_93,10,629,2514,2525
patient_93,16,950,3798,3828
patient_94,1,100,399,399
patient_94,5,183,731,793
patient_94,10,287,1146,1181
patient_94,16,411,1644,1645
patient_95,1,128,510,510
patient_95,5,331,1322,1398
patient_95,10,585,2337,2387
patient_95,16,889,3555,3649
patient_96,1,99,395,395
patient_96,5,191,763,778
patient_96,10,306,1223,1270
patient_96,16,444,1775,1841
patient_97,1,111,442,442
patient_97,5,221,882,920
patient_97,10,358,1432,1522
patient_97,16,523,2092,2125
patient_98,1,139,554,554
patient_98,5,380,1518,1540
patient_98,10,681,2723,2810
patient_98,16,1043,4169,4240
patient_99,1,94,373,373
patient_99,5,230,917,957
patient_99,10,400,1597,1639
patient_99,16,604,2413,2429
patient_100,1,127,508,508
patient_100,5,277,1108,1197
patient_100,10,465,1858,1881
patient_100,16,690,2758,2790
