run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_161848,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:18:51.796856,1,719,180,1,redundancy
20260522_161848,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:18:57.216587,3,3599,900,5,redundancy
20260522_161848,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:02.907353,5,7199,1800,10,redundancy
20260522_161848,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:09.414767,8,11519,2880,16,redundancy
20260522_161848,patient_02,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:16.114031,1,541,136,1,redundancy
20260522_161848,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:19.005136,3,2709,678,5,redundancy
20260522_161848,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:24.205213,5,5419,1355,10,redundancy
20260522_161848,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:28.723607,8,8671,2168,16,redundancy
20260522_161848,patient_03,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:33.333714,1,578,145,1,redundancy
20260522_161848,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:36.908197,3,2894,724,5,redundancy
20260522_161848,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:40.460741,5,5789,1448,10,redundancy
20260522_161848,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:43.763962,8,9263,2316,16,redundancy
20260522_161848,patient_04,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:46.978760,1,391,98,1,redundancy
20260522_161848,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:48.997273,2,1959,490,5,redundancy
20260522_161848,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:51.074879,4,3919,980,10,redundancy
20260522_161848,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:53.311741,6,6271,1568,16,redundancy
20260522_161848,patient_05,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:55.275226,1,500,125,1,redundancy
20260522_161848,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:19:57.792703,3,2504,626,5,redundancy
20260522_161848,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:20:02.012181,5,5009,1253,10,redundancy
20260522_161848,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:20:06.506006,8,8015,2004,16,redundancy
20260522_161848,patient_06,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:20:10.247869,1,387,97,1,redundancy
20260522_161848,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:20:12.172920,2,1939,485,5,redundancy
20260522_161848,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:20:15.687140,4,3879,970,10,redundancy
