path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_01,2629,122,2751,3.997743,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_02,2629,122,2751,6.312366,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_03,2629,122,2751,3.603722,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_01,382,98,480,4.18222,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_02,382,98,480,4.222996,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_03,382,98,480,5.234986,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_01,299,98,397,4.707254,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_02,299,98,397,4.24701,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_03,299,98,397,4.066223,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_01,1455,98,1553,5.312151,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_02,1455,98,1553,4.827815,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_03,1455,98,1553,3.472044,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_10x/run_01,979,98,1077,5.283911,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_10x/run_02,979,98,1077,5.617872,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_10x/run_03,979,98,1077,5.065651,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_5x/run_01,549,91,640,5.535685,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_5x/run_02,549,91,640,5.868745,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_5x/run_03,549,91,640,5.553476,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_32x/run_01,2379,180,2559,7.846966,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_32x/run_02,2379,180,2559,8.215527,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_32x/run_03,2379,180,2559,7.820387,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_2x/run_01,357,91,448,5.037489,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_2x/run_02,357,91,448,4.684502,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_2x/run_03,357,91,448,4.307155,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_1x/run_01,283,91,374,5.076869,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_1x/run_02,283,91,374,5.43984,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_1x/run_03,283,91,374,4.456118,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_16x/run_01,1302,91,1393,12.106862,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_16x/run_02,1302,91,1393,5.003186,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_16x/run_03,1302,91,1393,4.053818,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_10x/run_01,881,91,972,5.037158,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_10x/run_02,881,91,972,6.552037,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_06/rep_10x/run_03,881,91,972,4.49711,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_5x/run_01,672,115,787,5.803064,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_5x/run_02,672,115,787,4.245325,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_5x/run_03,672,115,787,3.977065,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_32x/run_01,3043,170,3213,8.066332,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_32x/run_02,3043,170,3213,8.161749,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_32x/run_03,3043,170,3213,7.806765,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_2x/run_01,422,106,528,3.212641,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_2x/run_02,422,106,528,4.234056,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_2x/run_03,422,106,528,3.537048,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_1x/run_01,325,109,434,3.635928,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_1x/run_02,325,109,434,3.711048,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_1x/run_03,325,106,431,3.430345,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_16x/run_01,1665,106,1771,3.114422,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_16x/run_02,1665,106,1771,3.896378,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_16x/run_03,1665,106,1771,5.482027,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_10x/run_01,1127,115,1242,4.704615,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_10x/run_02,1127,115,1242,4.319961,True,200
