patient_id,F1_1x,F1_5x,RSS
patient_01,0.3529411764705882,0.125,0.2279411764705882
patient_02,0.7142857142857143,0.4285714285714285,0.2857142857142858
patient_03,0.4444444444444444,0.4444444444444444,0.0
MEAN,,,0.171218487394958
STD,,,0.1510670740342981
