model_key,condition,repetition,f1_mean,omission_mean,halluc_mean,entities_mean
qwen72b,filler_control,2,0.5327233115468409,3.7333333333333334,3.4,7.266666666666667
qwen72b,filler_control,5,0.5327233115468409,3.7333333333333334,3.4,7.266666666666667
qwen72b,filler_control,10,0.533848010749015,3.6097560975609757,3.317073170731707,7.073170731707317
qwen72b,filler_control,16,0.5470109995217599,3.4634146341463414,3.1707317073170733,6.975609756097561
qwen72b,redundancy,2,0.5259324782544597,3.5789473684210527,3.289473684210526,6.894736842105263
qwen72b,redundancy,5,0.5142569848452201,3.6666666666666665,3.358974358974359,6.923076923076923
qwen72b,redundancy,10,0.509128779717015,3.6923076923076925,3.3846153846153846,6.923076923076923
qwen72b,redundancy,16,0.509128779717015,3.6923076923076925,3.3846153846153846,6.923076923076923
