run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n
20260520_235546,patient_02,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:02:09.158616,1,200,4.252869699999792,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:02:13.824497,1,200,4.225995400000102,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:02:18.072526,1,200,3.8317051999997602,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:02:21.926195,1,200,66.63869669999985,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:03:29.945821,1,200,12.326251599999978,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:03:42.291563,1,200,17.69443500000034,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_02,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:03:59.999035,1,200,9.627625699999953,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_03,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:09.688409,1,200,6.432644600000003,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:16.150240,1,200,7.664862499999799,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:23.839923,1,200,4.016440100000182,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:27.960616,1,200,4.119301000000178,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:32.097853,1,200,4.416331399999763,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:36.531287,1,200,3.8322583999997732,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:40.504939,1,200,4.088993600000322,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:44.613639,1,200,3.94848920000004,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:48.806221,1,200,3.5846671999997852,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:53.675049,1,200,3.596671199999946,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:04:57.491059,1,200,3.3684448999997585,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:00.949246,1,200,4.338072399999874,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:06.841626,1,200,4.764301500000329,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:11.626401,1,200,4.096451100000195,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:15.740246,1,200,4.281627299999855,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:20.847276,1,200,7.046048900000187,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:27.918575,1,200,7.746313799999825,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_03,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:35.680983,1,200,15.738668599999983,1,1,0,0,0,0,0,0.0,9
20260520_235546,patient_04,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:51.494139,1,200,3.1648173000003226,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:54.677349,1,200,3.240309100000104,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:05:57.938896,1,200,2.5736118000004353,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:00.596375,1,200,3.185394500000257,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:03.810913,1,200,3.24139120000018,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:07.072063,1,200,3.18809310000006,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:10.370523,1,200,3.104832299999998,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:13.493405,1,200,3.6084023999997044,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:17.116767,1,200,3.9393269000001965,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:21.855020,1,200,3.9915455999998812,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:25.867918,1,200,3.889995900000031,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:29.774288,1,200,4.274570399999902,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:34.751765,1,200,3.7041245999998864,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:38.509522,1,200,3.6371861000002355,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:42.170043,1,200,3.831582199999957,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:46.714792,1,200,5.69270349999988,1,1,0,0,0,0,0,0.0,6
