repetition,n,micro_f1_strict_mean,micro_f1_soft_mean,micro_f1_canonical_mean
1,30,0.4935200746965453,0.4935200746965453,0.5100116713352008
2,30,0.5223926237161531,0.5263141923436041,0.5430999066293184
5,30,0.5098926237161531,0.5216573295985061,0.537609710550887
10,30,0.5098926237161531,0.5216573295985061,0.537609710550887
16,30,0.4817063492063492,0.4895494864612511,0.5046685340802988
32,30,0.25383879192702724,0.25383879192702724,0.2680054585936939
