run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260520_235546,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:55:47.044778,1,719,180,1,constant_length_control
20260520_235546,patient_01,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:55:56.298592,1,719,180,1,constant_length_control
20260520_235546,patient_01,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:07.052179,1,719,180,1,constant_length_control
20260520_235546,patient_01,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:18.131622,1,1477,370,2,constant_length_control
20260520_235546,patient_01,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:25.253817,1,1477,370,2,constant_length_control
20260520_235546,patient_01,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:32.839760,1,1477,370,2,constant_length_control
20260520_235546,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:39.671999,2,3637,910,5,constant_length_control
20260520_235546,patient_01,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:56:51.428818,2,3637,910,5,constant_length_control
20260520_235546,patient_01,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:57:04.858479,2,3637,910,5,constant_length_control
20260520_235546,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:57:20.847802,3,7269,1818,10,constant_length_control
20260520_235546,patient_01,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:57:30.667091,3,7269,1818,10,constant_length_control
20260520_235546,patient_01,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:57:42.664285,3,7269,1818,10,constant_length_control
20260520_235546,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:57:53.125445,5,11686,2922,16,constant_length_control
20260520_235546,patient_01,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T23:58:08.294502,5,11686,2922,16,constant_length_control
20260520_235546,patient_01,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:00:02.457480,5,11686,2922,16,constant_length_control
