patient_id,repetition,F1_Nx,F1_1x,RSS
patient_01,1,0.3529411764705882,0.3529411764705882,0.0
patient_01,5,0.125,0.3529411764705882,0.2279411764705882
patient_01,10,0.125,0.3529411764705882,0.2279411764705882
patient_01,16,0.125,0.3529411764705882,0.2279411764705882
patient_02,1,0.7142857142857143,0.7142857142857143,0.0
patient_02,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_02,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_02,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_03,1,0.4444444444444444,0.4444444444444444,0.0
patient_03,5,0.4444444444444444,0.4444444444444444,0.0
patient_03,10,0.4444444444444444,0.4444444444444444,0.0
patient_03,16,0.4444444444444444,0.4444444444444444,0.0
patient_04,1,0.6666666666666666,0.6666666666666666,0.0
patient_04,5,0.6666666666666666,0.6666666666666666,0.0
patient_04,10,0.6666666666666666,0.6666666666666666,0.0
patient_04,16,0.6666666666666666,0.6666666666666666,0.0
patient_05,1,0.3529411764705882,0.3529411764705882,0.0
patient_05,5,0.0,0.3529411764705882,0.3529411764705882
patient_05,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_05,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_06,1,0.6,0.6,0.0
patient_06,5,0.2,0.6,0.39999999999999997
patient_06,10,0.2,0.6,0.39999999999999997
patient_06,16,0.2,0.6,0.39999999999999997
patient_07,1,0.5714285714285714,0.5714285714285714,0.0
patient_07,5,0.5714285714285714,0.5714285714285714,0.0
patient_07,10,0.5714285714285714,0.5714285714285714,0.0
patient_07,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_08,1,0.4705882352941176,0.4705882352941176,0.0
patient_08,5,0.4705882352941176,0.4705882352941176,0.0
patient_08,10,0.4705882352941176,0.4705882352941176,0.0
patient_08,16,0.4705882352941176,0.4705882352941176,0.0
patient_09,1,0.2,0.2,0.0
patient_09,5,0.2,0.2,0.0
patient_09,10,0.2,0.2,0.0
patient_09,16,0.2,0.2,0.0
patient_10,1,0.4285714285714285,0.4285714285714285,0.0
patient_10,5,0.4285714285714285,0.4285714285714285,0.0
patient_10,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_10,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_100,1,0.4285714285714285,0.4285714285714285,0.0
patient_100,5,0.4285714285714285,0.4285714285714285,0.0
patient_100,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_100,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_11,1,0.3529411764705882,0.3529411764705882,0.0
patient_11,5,0.125,0.3529411764705882,0.2279411764705882
patient_11,10,0.125,0.3529411764705882,0.2279411764705882
patient_11,16,0.125,0.3529411764705882,0.2279411764705882
patient_12,1,0.7142857142857143,0.7142857142857143,0.0
patient_12,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_12,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_12,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_13,1,0.4444444444444444,0.4444444444444444,0.0
patient_13,5,0.4444444444444444,0.4444444444444444,0.0
patient_13,10,0.4444444444444444,0.4444444444444444,0.0
patient_13,16,0.4444444444444444,0.4444444444444444,0.0
patient_14,1,0.6666666666666666,0.6666666666666666,0.0
patient_14,5,0.6666666666666666,0.6666666666666666,0.0
patient_14,10,0.6666666666666666,0.6666666666666666,0.0
patient_14,16,0.6666666666666666,0.6666666666666666,0.0
patient_15,1,0.3529411764705882,0.3529411764705882,0.0
patient_15,5,0.0,0.3529411764705882,0.3529411764705882
patient_15,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_15,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_16,1,0.6,0.6,0.0
patient_16,5,0.2,0.6,0.39999999999999997
patient_16,10,0.2,0.6,0.39999999999999997
patient_16,16,0.2,0.6,0.39999999999999997
patient_17,1,0.5714285714285714,0.5714285714285714,0.0
patient_17,5,0.5714285714285714,0.5714285714285714,0.0
patient_17,10,0.5714285714285714,0.5714285714285714,0.0
patient_17,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_18,1,0.4705882352941176,0.4705882352941176,0.0
patient_18,5,0.4705882352941176,0.4705882352941176,0.0
patient_18,10,0.4705882352941176,0.4705882352941176,0.0
patient_18,16,0.4705882352941176,0.4705882352941176,0.0
patient_19,1,0.6,0.6,0.0
patient_19,5,0.2,0.6,0.39999999999999997
patient_19,10,0.2,0.6,0.39999999999999997
patient_19,16,0.2,0.6,0.39999999999999997
patient_20,1,0.4285714285714285,0.4285714285714285,0.0
patient_20,5,0.4285714285714285,0.4285714285714285,0.0
patient_20,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_20,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_21,1,0.3529411764705882,0.3529411764705882,0.0
patient_21,5,0.2352941176470588,0.3529411764705882,0.11764705882352941
patient_21,10,0.125,0.3529411764705882,0.2279411764705882
