patient_id,F1_1x,F1_32x,RSS_32x,monotonic_decrease,monotonic_increase
patient_01,0.3529411764705882,,,1,0
patient_02,0.7142857142857143,,,1,0
patient_03,0.4444444444444444,,,0,0
patient_04,0.6666666666666666,,,0,0
patient_05,0.3529411764705882,,,0,0
patient_06,0.6,,,1,0
patient_07,0.5714285714285714,,,1,0
patient_08,0.4705882352941176,,,0,0
patient_09,0.2,,,0,0
patient_10,0.4285714285714285,,,1,0
patient_100,0.4285714285714285,,,1,0
patient_11,0.3529411764705882,,,1,0
patient_12,0.7142857142857143,,,1,0
patient_13,0.4444444444444444,,,0,0
patient_14,0.6666666666666666,,,0,0
patient_15,0.3529411764705882,,,0,0
patient_16,0.6,,,1,0
patient_17,0.5714285714285714,,,1,0
patient_18,0.4705882352941176,,,0,0
patient_19,0.6,,,1,0
patient_20,0.4285714285714285,,,1,0
patient_21,0.3529411764705882,,,1,0
patient_22,0.7142857142857143,,,1,0
patient_23,0.4444444444444444,,,0,0
patient_24,0.6666666666666666,,,0,0
patient_25,0.3529411764705882,,,0,0
patient_26,0.6,,,1,0
patient_27,0.5714285714285714,,,1,0
patient_28,0.4705882352941176,,,0,0
patient_29,0.2,,,0,0
patient_30,0.4285714285714285,,,1,0
patient_31,0.3529411764705882,,,1,0
patient_32,0.7142857142857143,,,1,0
patient_33,0.4444444444444444,,,0,0
patient_34,0.6666666666666666,,,0,0
patient_35,0.3529411764705882,,,0,0
patient_36,0.6,,,1,0
patient_37,0.5714285714285714,,,1,0
patient_38,0.4705882352941176,,,0,0
patient_39,0.2,,,0,0
patient_40,0.4285714285714285,,,1,0
patient_41,0.3529411764705882,,,1,0
patient_42,0.7142857142857143,,,1,0
patient_43,0.4444444444444444,,,0,0
patient_44,0.6666666666666666,,,0,0
patient_45,0.3529411764705882,,,0,0
patient_46,0.6,,,1,0
patient_47,0.5714285714285714,,,1,0
patient_48,0.4705882352941176,,,0,0
patient_49,0.2,,,0,0
patient_50,0.4285714285714285,,,1,0
patient_51,0.2352941176470588,,,1,0
patient_52,0.7142857142857143,,,1,0
patient_53,0.4444444444444444,,,0,0
patient_54,0.6666666666666666,,,0,0
patient_55,0.3529411764705882,,,0,0
patient_56,0.6,,,1,0
patient_57,0.5714285714285714,,,1,0
patient_58,0.4705882352941176,,,0,0
patient_59,0.2,,,0,0
patient_60,0.4285714285714285,,,1,0
patient_61,0.3529411764705882,,,1,0
patient_62,0.7142857142857143,,,1,0
patient_63,0.4444444444444444,,,0,0
patient_64,0.6666666666666666,,,0,0
patient_65,0.3529411764705882,,,0,0
patient_66,0.6,,,1,0
patient_67,0.5714285714285714,,,1,0
patient_68,0.4705882352941176,,,0,0
patient_69,0.2,,,0,0
patient_70,0.4285714285714285,,,1,0
patient_71,0.3529411764705882,,,1,0
patient_72,0.7142857142857143,,,1,0
patient_73,0.4444444444444444,,,0,0
patient_74,0.6666666666666666,,,0,0
patient_75,0.3529411764705882,,,0,0
patient_76,0.6,,,1,0
patient_77,0.5714285714285714,,,1,0
patient_78,0.4705882352941176,,,0,0
patient_79,0.2,,,0,0
patient_80,0.4285714285714285,,,1,0
patient_81,0.2352941176470588,,,1,0
patient_82,0.7142857142857143,,,1,0
patient_83,0.4444444444444444,,,0,0
patient_84,0.6666666666666666,,,0,0
patient_85,0.3529411764705882,,,0,0
patient_86,0.6,,,1,0
patient_87,0.5714285714285714,,,1,0
patient_88,0.4705882352941176,,,0,0
patient_89,0.2,,,0,0
patient_90,0.4285714285714285,,,1,0
patient_91,0.3529411764705882,,,1,0
patient_92,0.7142857142857143,,,1,0
patient_93,0.4444444444444444,,,0,0
patient_94,0.6666666666666666,,,0,0
patient_95,0.3529411764705882,,,0,0
patient_96,0.6,,,1,0
patient_97,0.5714285714285714,,,1,0
patient_98,0.4705882352941176,,,0,0
patient_99,0.2,,,0,0
