path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_32x/run_03,5166,224,5390,6.072117,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_01,456,107,563,3.266471,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_02,456,107,563,2.747619,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_03,456,107,563,11.161381,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_01,299,98,397,3.233442,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_02,299,98,397,3.26546,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_03,299,98,397,3.787001,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_01,2654,210,2864,5.722954,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_02,2654,210,2864,4.993969,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_03,2654,212,2866,5.627706,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_01,1712,172,1884,4.693705,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_02,1712,112,1824,4.586092,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_03,1712,112,1824,3.592792,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_01,847,157,1004,5.267957,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_02,847,157,1004,4.302735,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_03,847,157,1004,5.900277,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_01,4654,194,4848,4.571993,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_02,4654,194,4848,4.731805,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_03,4654,194,4848,5.089243,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_01,424,91,515,3.768427,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_02,424,91,515,4.535945,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_03,424,91,515,3.088806,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_01,283,91,374,3.533004,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_02,283,91,374,3.491716,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_03,283,91,374,2.924856,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_01,2398,151,2549,3.886628,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_02,2398,151,2549,3.515221,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_03,2398,151,2549,3.883977,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_01,1552,151,1703,3.608812,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_02,1552,157,1709,4.423455,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_03,1552,151,1703,4.452733,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_01,1057,168,1225,4.02607,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_02,1057,168,1225,3.882286,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_03,1057,168,1225,4.794339,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_01,5998,245,6243,7.501595,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_02,5998,245,6243,7.786948,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_03,5998,245,6243,8.462158,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_01,508,109,617,2.89526,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_02,508,109,617,2.774966,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_03,508,109,617,2.530152,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_01,325,109,434,2.819999,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_02,325,109,434,2.655469,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_03,325,109,434,3.880056,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_16x/run_01,3070,174,3244,4.544698,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_16x/run_02,3070,149,3219,4.567911,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_16x/run_03,3070,174,3244,8.656279,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_10x/run_01,1972,192,2164,5.122113,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_10x/run_02,1972,192,2164,4.648911,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_10x/run_03,1972,192,2164,4.23035,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_5x/run_01,832,80,912,2.527951,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_5x/run_02,832,80,912,2.878918,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_5x/run_03,832,80,912,2.885628,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_32x/run_01,4558,173,4731,5.503231,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_32x/run_02,4558,173,4731,6.148853,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_32x/run_03,4558,173,4731,4.514264,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_2x/run_01,418,80,498,2.473278,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_2x/run_02,418,80,498,1.803666,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_2x/run_03,418,80,498,2.616944,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_1x/run_01,280,80,360,2.030101,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_1x/run_02,280,80,360,2.135462,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_1x/run_03,280,80,360,1.666209,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_16x/run_01,2350,80,2430,2.207154,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_16x/run_02,2350,85,2435,2.375662,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_16x/run_03,2350,80,2430,1.91672,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_10x/run_01,1522,80,1602,2.950091,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_10x/run_02,1522,80,1602,3.158377,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_04/rep_10x/run_03,1522,80,1602,2.959284,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_5x/run_01,1197,133,1330,3.344864,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_5x/run_02,1197,133,1330,3.497784,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_5x/run_03,1197,133,1330,3.378887,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_32x/run_01,6894,136,7030,4.354718,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_32x/run_02,6894,136,7030,3.838429,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_32x/run_03,6894,136,7030,4.1583,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_2x/run_01,564,133,697,3.75258,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_2x/run_02,564,133,697,3.544904,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_2x/run_03,564,133,697,3.360942,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_1x/run_01,353,133,486,3.778569,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_1x/run_02,353,133,486,4.868719,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_1x/run_03,353,133,486,3.750234,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_16x/run_01,3518,136,3654,2.967169,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_16x/run_02,3518,136,3654,3.137785,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_16x/run_03,3518,136,3654,3.966491,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_10x/run_01,2252,136,2388,3.507989,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_10x/run_02,2252,136,2388,3.885415,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_03/rep_10x/run_03,2252,136,2388,4.222501,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_5x/run_01,1132,199,1331,5.292588,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_5x/run_02,1132,199,1331,6.858688,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_5x/run_03,1132,199,1331,5.187382,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_32x/run_01,6478,248,6726,7.717275,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_32x/run_02,6478,252,6730,6.195284,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_32x/run_03,6478,252,6730,6.921031,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_2x/run_01,538,115,653,3.38617,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_2x/run_02,538,115,653,3.281231,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_2x/run_03,538,115,653,2.889359,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_1x/run_01,340,112,452,3.069497,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_1x/run_02,340,112,452,2.896696,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_1x/run_03,340,112,452,2.699465,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_16x/run_01,3310,202,3512,5.738482,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_16x/run_02,3310,202,3512,5.626494,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_16x/run_03,3310,202,3512,5.638009,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_10x/run_01,2122,191,2313,5.997923,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_10x/run_02,2122,191,2313,5.442082,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_02/rep_10x/run_03,2122,202,2324,11.671922,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_5x/run_01,1412,266,1678,10.708023,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_5x/run_02,1412,266,1678,10.992496,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_5x/run_03,1412,253,1665,6.683857,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_32x/run_01,8270,251,8521,7.195956,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_32x/run_02,8270,251,8521,7.036935,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_32x/run_03,8270,251,8521,7.516706,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_2x/run_01,650,197,847,5.975067,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_2x/run_02,650,197,847,5.556269,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_2x/run_03,650,197,847,6.574906,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_1x/run_01,396,235,631,8.379763,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_1x/run_02,396,201,597,5.091097,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_1x/run_03,396,235,631,8.027509,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_16x/run_01,4206,251,4457,6.774652,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_16x/run_02,4206,251,4457,6.327573,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_16x/run_03,4206,251,4457,6.534296,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_10x/run_01,2682,284,2966,7.735868,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_10x/run_02,2682,283,2965,9.696169,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_01/rep_10x/run_03,2682,283,2965,11.848227,True,200
