repetition,F1_drop_redundancy,F1_drop_control,DRE
1,0.0,0.0,0.0
5,-0.08776089560403288,-0.06948459383753502,-0.01827630176649786
10,-0.08669873336540002,-0.08489075630252108,-0.0018079770628789404
16,-0.08669873336540002,-0.09145471521942117,0.004755981854021152
