run_id,patient_id,repetition,prompt,condition,raw_valid_json,repair_needed,structural_drift_score
20260523_132009,patient_07,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_07,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_07,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_07,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_07,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_07,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_07,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_07,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_07,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_07,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_07,16,promptB,filler_control,1,0,0.0
20260523_132009,patient_08,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_08,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_08,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_08,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_08,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_08,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_08,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_08,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_08,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_08,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_08,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_08,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_08,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_08,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_08,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_08,16,promptB,filler_control,1,0,0.0
20260523_132009,patient_09,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_09,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_09,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_09,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_09,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_09,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_09,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_09,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_09,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_09,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_09,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_09,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_09,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_09,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_09,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_09,16,promptB,filler_control,1,0,0.0
20260523_132009,patient_10,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_10,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_10,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_10,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_10,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_10,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_10,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_10,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_10,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_10,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_10,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_10,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_10,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_10,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_10,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_10,16,promptB,filler_control,1,0,0.0
