repetition,repetition,mean,std,count
0,1,0.0,0.0,10
1,2,0.07049019607843136,0.1713318939427542,10
2,5,0.19042717086834732,0.24383193067521503,10
3,10,0.2043767507002801,0.22263370514399558,10
4,16,0.19523809523809524,0.25468116148866354,10
5,32,0.0007038712921065837,0.12366843143962643,10
