run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n,drift_vs_1x,drift_vs_gold,drift_score
20260522_155750,patient_03,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:19,1,200,3.7712606999994014,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,9,0.5,0.875,0.6875
20260522_155750,patient_03,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:23,1,200,3.961311500002921,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,9,0.5,0.875,0.6875
20260522_155750,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:27,1,200,2.6987131999994745,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9,0.0,0.7142857142857143,0.35714285714285715
20260522_155750,patient_03,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:30,1,200,2.7081443999995827,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9,0.0,0.7142857142857143,0.35714285714285715
20260522_155750,patient_03,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:33,1,200,3.1108767000041557,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9,0.0,0.7142857142857143,0.35714285714285715
20260522_155750,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:36,1,200,1.6297663000004832,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6,0.0,0.5,0.25
20260522_155750,patient_04,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:38,1,200,2.213610799997696,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6,0.0,0.5,0.25
20260522_155750,patient_04,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:40,1,200,1.5507636999973329,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6,0.0,0.5,0.25
20260522_155750,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:42,1,200,2.8318177000037394,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.8,0.8,0.8
20260522_155750,patient_04,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:45,1,200,3.3079481000022497,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.8,0.8,0.8
