run_id,patient_id,repetition,run,model,timestamp,raw_valid_json,repair_needed,structural_drift_score,schema_match,drift_score
20260522_155750,patient_05,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:02,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:06,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:09,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:12,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:15,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:18,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:22,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_05,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:25,1,0,0.0,1,0.39285714285714285
20260522_155750,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:27,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:30,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:34,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:37,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:40,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:43,1,0,0.0,1,0.4444444444444444
20260522_155750,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:47,1,0,0.0,1,0.2857142857142857
20260522_155750,patient_06,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:49,1,0,0.0,1,0.2857142857142857
20260522_155750,patient_06,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:51,1,0,0.0,1,0.2857142857142857
20260522_155750,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:54,1,0,0.0,1,0.3
20260522_155750,patient_07,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:58,1,0,0.0,1,0.3
20260522_155750,patient_07,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:00,1,0,0.0,1,0.3
20260522_155750,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:04,1,0,0.0,1,0.3
