run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_165338,patient_11,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:56.198578,3,7360,1840,10,constant_length_control
20260522_165338,patient_11,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:00.420425,5,11688,2922,16,constant_length_control
20260522_165338,patient_12,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:05.858677,1,541,136,1,constant_length_control
20260522_165338,patient_12,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:08.373536,2,2753,689,5,constant_length_control
20260522_165338,patient_12,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:11.138928,3,5495,1374,10,constant_length_control
20260522_165338,patient_12,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:14.023216,4,8831,2208,16,constant_length_control
20260522_165338,patient_13,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:16.612946,1,578,145,1,constant_length_control
20260522_165338,patient_13,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:19.563948,2,2985,747,5,constant_length_control
20260522_165338,patient_13,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:22.706827,3,5904,1476,10,constant_length_control
20260522_165338,patient_13,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:27.540588,4,9390,2348,16,constant_length_control
20260522_165338,patient_14,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:31.343587,1,391,98,1,constant_length_control
20260522_165338,patient_14,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:33.512210,1,2038,510,5,constant_length_control
20260522_165338,patient_14,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:35.524056,2,3953,989,10,constant_length_control
20260522_165338,patient_14,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:37.528844,3,6412,1603,16,constant_length_control
20260522_165338,patient_15,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:39.667873,1,500,125,1,constant_length_control
20260522_165338,patient_15,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:42.903137,2,2526,632,5,constant_length_control
20260522_165338,patient_15,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:45.329426,3,5060,1265,10,constant_length_control
20260522_165338,patient_15,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:47.989292,4,8157,2040,16,constant_length_control
20260522_165338,patient_16,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:50.140111,1,387,97,1,constant_length_control
20260522_165338,patient_16,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:52.170439,1,2041,511,5,constant_length_control
20260522_165338,patient_16,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:54.444029,2,3967,992,10,constant_length_control
20260522_165338,patient_16,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:57.044192,3,6277,1570,16,constant_length_control
20260522_165338,patient_17,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:59.394838,1,434,109,1,constant_length_control
20260522_165338,patient_17,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:02.512392,2,2278,570,5,constant_length_control
20260522_165338,patient_17,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:05.036600,2,4386,1097,10,constant_length_control
20260522_165338,patient_17,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:07.776799,3,7075,1769,16,constant_length_control
20260522_165338,patient_18,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:10.096780,1,544,136,1,constant_length_control
20260522_165338,patient_18,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:13.148055,2,2746,687,5,constant_length_control
20260522_165338,patient_18,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:16.622808,3,5557,1390,10,constant_length_control
20260522_165338,patient_18,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:20.145808,4,8823,2206,16,constant_length_control
20260522_165338,patient_19,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:23.801632,1,366,92,1,constant_length_control
20260522_165338,patient_19,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:27.366854,1,1926,482,5,constant_length_control
20260522_165338,patient_19,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:29.379817,2,3760,940,10,constant_length_control
20260522_165338,patient_19,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:31.776259,3,5993,1499,16,constant_length_control
20260522_165338,patient_20,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:33.909186,1,498,125,1,constant_length_control
20260522_165338,patient_20,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:36.623727,2,2519,630,5,constant_length_control
20260522_165338,patient_20,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:39.672832,3,5041,1261,10,constant_length_control
20260522_165338,patient_20,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:43.157779,4,8074,2019,16,constant_length_control
20260522_165338,patient_21,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:45.737337,1,719,180,1,constant_length_control
20260522_165338,patient_21,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:50.425702,2,3712,928,5,constant_length_control
20260522_165338,patient_21,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:53.207481,3,7354,1839,10,constant_length_control
20260522_165338,patient_21,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:57:58.545346,5,11683,2921,16,constant_length_control
20260522_165338,patient_22,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:04.231362,1,541,136,1,constant_length_control
20260522_165338,patient_22,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:06.902920,2,2814,704,5,constant_length_control
20260522_165338,patient_22,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:09.788537,3,5545,1387,10,constant_length_control
20260522_165338,patient_22,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:13.042014,4,8816,2204,16,constant_length_control
20260522_165338,patient_23,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:15.968246,1,578,145,1,constant_length_control
20260522_165338,patient_23,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:19.317745,2,2990,748,5,constant_length_control
20260522_165338,patient_23,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:22.660271,3,5815,1454,10,constant_length_control
20260522_165338,patient_23,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:26.341615,4,9342,2336,16,constant_length_control
20260522_165338,patient_24,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:29.312235,1,391,98,1,constant_length_control
20260522_165338,patient_24,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:31.211080,1,2020,505,5,constant_length_control
20260522_165338,patient_24,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:33.323589,2,3961,991,10,constant_length_control
20260522_165338,patient_24,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:35.521186,3,6317,1580,16,constant_length_control
20260522_165338,patient_25,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:37.486494,1,500,125,1,constant_length_control
20260522_165338,patient_25,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:39.914011,2,2559,640,5,constant_length_control
20260522_165338,patient_25,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:42.716770,3,5043,1261,10,constant_length_control
20260522_165338,patient_25,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:46.561558,4,8107,2027,16,constant_length_control
20260522_165338,patient_26,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:50.724542,1,387,97,1,constant_length_control
20260522_165338,patient_26,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:52.792489,1,1964,491,5,constant_length_control
20260522_165338,patient_26,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:54.896591,2,3976,994,10,constant_length_control
