run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260520_152150,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:21:50.765991,1,719,180,1,redundancy
20260520_152150,patient_01,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:01.640331,1,719,180,1,redundancy
20260520_152150,patient_01,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:12.439558,1,719,180,1,redundancy
20260520_152150,patient_01,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:23.467624,1,1439,360,2,redundancy
20260520_152150,patient_01,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:31.515813,1,1439,360,2,redundancy
20260520_152150,patient_01,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:38.347780,1,1439,360,2,redundancy
20260520_152150,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:44.299222,3,3599,900,5,redundancy
20260520_152150,patient_01,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:51.246426,3,3599,900,5,redundancy
20260520_152150,patient_01,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:22:56.886046,3,3599,900,5,redundancy
20260520_152150,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:23:04.942484,5,7199,1800,10,redundancy
20260520_152150,patient_01,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:23:12.762013,5,7199,1800,10,redundancy
20260520_152150,patient_01,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:23:31.139332,5,7199,1800,10,redundancy
20260520_152150,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:23:49.859445,8,11519,2880,16,redundancy
20260520_152150,patient_01,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:24:03.551810,8,11519,2880,16,redundancy
20260520_152150,patient_01,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:24:16.887284,8,11519,2880,16,redundancy
20260520_152150,patient_01,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:24:32.198676,16,23039,5760,32,redundancy
20260520_152150,patient_01,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:24:47.538057,16,23039,5760,32,redundancy
20260520_152150,patient_01,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:25:02.657354,16,23039,5760,32,redundancy
20260520_152150,patient_02,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:26:55.560164,1,541,136,1,redundancy
20260520_152150,patient_02,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:02.821480,1,541,136,1,redundancy
20260520_152150,patient_02,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:09.680720,1,541,136,1,redundancy
20260520_152150,patient_02,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:16.735811,1,1083,271,2,redundancy
20260520_152150,patient_02,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:24.360572,1,1083,271,2,redundancy
20260520_152150,patient_02,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:30.758544,1,1083,271,2,redundancy
20260520_152150,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:37.007649,3,2709,678,5,redundancy
20260520_152150,patient_02,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:27:58.258493,3,2709,678,5,redundancy
20260520_152150,patient_02,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:28:07.914688,3,2709,678,5,redundancy
20260520_152150,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:28:18.741552,5,5419,1355,10,redundancy
20260520_152150,patient_02,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:28:29.478513,5,5419,1355,10,redundancy
20260520_152150,patient_02,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T15:28:39.906319,5,5419,1355,10,redundancy
