run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n,pdf_pages,character_count,estimated_tokens
20260520_192127,patient_09,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:03:50.482929,1,200,6.521664500000043,1,1,0,0,0,0,0,0.0,5,1,366,92
20260520_192127,patient_09,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:03:55.907207,1,200,5.374648099999831,1,1,0,0,0,0,0,0.0,5,1,366,92
20260520_192127,patient_09,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:03:59.185784,1,200,3.2394184000004316,1,1,0,0,0,0,0,0.0,5,1,366,92
20260520_192127,patient_09,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:04.009527,1,200,4.776992999999493,1,1,0,0,0,0,0,0.0,5,1,733,184
20260520_192127,patient_09,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:13.248084,1,200,9.190921700001127,1,1,0,0,0,0,0,0.0,5,1,733,184
20260520_192127,patient_09,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:22.395016,1,200,9.10054879999916,1,1,0,0,0,0,0,0.0,5,1,733,184
20260520_192127,patient_09,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:31.655081,1,200,9.187058399998932,1,1,0,0,0,0,0,0.0,5,2,1834,459
20260520_192127,patient_09,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:42.714957,1,200,10.983608200000162,1,1,0,0,0,0,0,0.0,5,2,1834,459
20260520_192127,patient_09,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:50.090409,1,200,7.303663999999117,1,1,0,0,0,0,0,0.0,5,2,1834,459
20260520_192127,patient_09,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:57.208626,1,200,6.96779190000052,1,1,0,0,0,0,0,0.0,5,3,3669,918
20260520_192127,patient_09,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:04.521946,1,200,7.206432399998448,1,1,0,0,0,0,0,0.0,5,3,3669,918
20260520_192127,patient_09,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:11.900684,1,200,7.261175899999216,1,1,0,0,0,0,0,0.0,5,3,3669,918
20260520_192127,patient_09,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:19.045671,1,200,6.966276499999367,1,1,0,0,0,0,0,0.0,5,5,5871,1468
20260520_192127,patient_09,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:26.440600,1,200,7.216090800000529,1,1,0,0,0,0,0,0.0,5,5,5871,1468
20260520_192127,patient_09,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:34.222601,1,200,7.607721899999888,1,1,0,0,0,0,0,0.0,5,5,5871,1468
20260520_192127,patient_09,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:07:09.486132,1,200,94.88441099999909,1,1,0,0,0,0,0,0.0,5,10,11743,2936
20260520_192127,patient_09,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:08:52.684921,1,200,102.89956019999954,1,1,0,0,0,0,0,0.0,5,10,11743,2936
20260520_192127,patient_09,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:09:08.237880,1,200,15.171239700001024,1,1,0,0,0,0,0,0.0,5,10,11743,2936
20260520_192127,patient_10,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:09:12.343413,1,200,4.061174699998446,1,1,0,0,0,0,0,0.0,7,1,498,125
20260520_192127,patient_10,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:09:17.385977,1,200,5.001294300000154,1,1,0,0,0,0,0,0.0,7,1,498,125
