run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n,pdf_pages,character_count,estimated_tokens
20260520_192127,patient_09,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:03:59.185784,1,200,3.2394184000004316,1,1,0,0,0,0,0,0.0,5,1.0,366.0,92.0
20260520_192127,patient_09,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:19.045671,1,200,6.966276499999367,1,1,0,0,0,0,0,0.0,5,5.0,5871.0,1468.0
20260520_192127,patient_09,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:26.440600,1,200,7.216090800000529,1,1,0,0,0,0,0,0.0,5,5.0,5871.0,1468.0
20260520_192127,patient_09,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:34.222601,1,200,7.607721899999888,1,1,0,0,0,0,0,0.0,5,5.0,5871.0,1468.0
20260520_192127,patient_09,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:04:57.208626,1,200,6.96779190000052,1,1,0,0,0,0,0,0.0,5,3.0,3669.0,918.0
20260520_192127,patient_09,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:04.521946,1,200,7.206432399998448,1,1,0,0,0,0,0,0.0,5,3.0,3669.0,918.0
20260520_192127,patient_09,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T20:05:11.900684,1,200,7.261175899999216,1,1,0,0,0,0,0,0.0,5,3.0,3669.0,918.0
20260520_192127,patient_08,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:58.053907,1,200,3.384057600000233,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:01.450224,1,200,3.3819174999989627,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:04.843496,1,200,3.0366583000013634,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:31.875040,1,200,4.005037400000219,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:35.894513,1,200,4.404761399999188,1,1,0,0,0,0,0,0.0,8,,,
