repetition,n,f1_mean,f1_std,omission_mean,omission_std,halluc_mean,halluc_std,raw_json_valid_rate,sds_mean,sds_std,repair_rate,f1_ci_low,f1_ci_high,omission_ci_low,omission_ci_high,halluc_ci_low,halluc_ci_high,sds_ci_low,sds_ci_high,output_variance_mean
1,30,0.4990102707749766,0.14741090903093387,3.8333333333333335,1.7237355852380878,3.533333333333333,1.3829836145670416,1.0,0.0,0.0,0.0,0.44625995444390143,0.5517605871060518,3.2165024760366103,4.450164190630057,3.038439002725846,4.028227663940821,0.0,0.0,0.0523782800878924
2,30,0.4573926237161531,0.1853093715701948,4.1,1.9000907419347652,3.7,1.3683617186633978,1.0,0.0,0.0,0.0,0.3910805167377663,0.5237047306945398,3.420061260365926,4.779938739634073,3.2103380476428596,4.189661952357141,0.0,0.0,0.0
5,30,0.32495564892623713,0.21181582021761283,5.0,2.084425001338954,4.6,1.6525841832592434,1.0,0.0,0.0,0.0,0.2491583311167355,0.4007529667357388,4.25409809279476,5.74590190720524,4.008630344906405,5.191369655093594,0.0,0.0,0.027617638591797816
10,30,0.31100606909430434,0.18811146082728106,5.066666666666666,1.8370390969378307,4.766666666666667,1.4781939897267773,1.0,0.0,0.0,0.0,0.24369124735300818,0.3783208908356005,4.40929066842431,5.724042664909023,4.237701740872615,5.295631592460718,0.0,0.0,0.02249885212866288
16,30,0.2919584500466853,0.17429136965696676,5.2,1.749876842957024,4.9,1.398274799098197,1.0,0.0,0.0,0.0,0.22958908441681844,0.3543278156765522,4.573814613767588,5.826185386232412,4.399633789282704,5.400366210717297,0.0,0.0,0.014693127920759455
32,30,0.258625116713352,0.12198509396363358,5.4,1.4527025943345067,5.1,1.0618786215460558,1.0,0.0,0.0,0.0,0.21497331145308265,0.3022769219736213,4.880157052894654,5.919842947105347,4.720011615422533,5.479988384577466,0.0,0.0,3.3306690738754695e-17
