repetition,n,micro_f1_strict_mean,micro_f1_soft_mean,micro_f1_canonical_mean
1,30,0.49901027077497667,0.49901027077497667,0.5150116713352008
2,30,0.45739262371615313,0.45739262371615313,0.4725116713352007
5,30,0.3249556489262372,0.3327987861811391,0.34791783380018676
10,30,0.3110060690943044,0.32277077497665735,0.3384189231248055
16,30,0.29195845004668536,0.29195845004668536,0.31056956115779644
32,30,0.25862511671335203,0.25862511671335203,0.27279178338001864
