repetition,n,micro_f1_strict_mean,micro_f1_strict_std,micro_f1_soft_mean,micro_f1_soft_std
1,30,0.49901027077497667,0.14741090903093387,0.49901027077497667,0.14741090903093387
2,30,0.45739262371615313,0.18530937157019478,0.45739262371615313,0.18530937157019478
5,30,0.3249556489262372,0.21181582021761278,0.3327987861811391,0.21936283184048247
10,30,0.3110060690943044,0.18811146082728106,0.32277077497665735,0.20139241213677103
16,30,0.29195845004668536,0.17429136965696673,0.29195845004668536,0.17429136965696673
32,30,0.25862511671335203,0.12198509396363362,0.25862511671335203,0.12198509396363362
