repetition,F1_drop_exact,F1_drop_shuffled,F1_drop_filler,DRE_exact_vs_filler,DRE_shuffled_vs_filler,Exact_minus_Shuffled
5,0.0,0.0,0.0,0.0,0.0,0.0
10,0.01394957983193279,0.07134687208216611,0.0,0.01394957983193279,0.07134687208216611,-0.05739729225023332
16,0.03299719887955177,0.1025910364145658,0.028186274509803877,0.004810924369747893,0.07440476190476192,-0.06959383753501402
